,c0,c2,c4,c9,c10,c13,c14,c15,c16,c31,ymd,next_month_day1,next_month_day2,filename,dt_rank_neg
2802,9,610406002,アストニール錠１０　１０ｍｇ,錠,,0.0,0.0,0.0,1.0,2123014F2031,2013-03-31,2013-04-01,2013-04-02,y20130329.csv,1.0
3553,5,610406008,アゼピット錠１ｍｇ,錠,,0.0,0.0,0.0,1.0,4490004F2010,2013-09-30,2013-10-01,2013-10-02,y20130611.csv,1.0
52035,9,610406009,アセメール錠１０　１０ｍｇ,錠,1.0,0.0,0.0,0.0,1.0,2123014F2040,2014-04-01,2014-05-01,2014-05-02,y20140305.csv,1.0
49059,5,610406013,アドメッセン錠１ｍｇ,錠,,0.0,0.0,0.0,1.0,4490004F2010,2015-09-30,2015-10-01,2015-10-02,y20150612.csv,1.0
4888,9,610406015,アナシロール錠１０　１０ｍｇ,錠,,0.0,0.0,0.0,1.0,2123014F2058,2013-09-30,2013-10-01,2013-10-02,y20130930.csv,1.0
228,5,610406020,アルカルロールカプセル０．２５　０．２５μｇ,カプセル,,0.0,0.0,0.0,1.0,3112004M1015,2012-09-30,2012-10-01,2012-10-02,y20120613.csv,1.0
229,5,610406021,アルカルロールカプセル０．５　０．５μｇ,カプセル,,0.0,0.0,0.0,1.0,3112004M2011,2012-09-30,2012-10-01,2012-10-02,y20120613.csv,1.0
183124,9,610406047,ウテロン錠５ｍｇ,錠,1.0,0.0,0.0,0.0,1.0,2590004F1010,2019-10-01,2019-11-01,2019-11-02,y20190823.csv,1.0
45719,5,610406050,エスメラルダ錠４００　４００ｍｇ,錠,,0.0,0.0,0.0,1.0,2325001F2013,2014-09-30,2014-10-01,2014-10-02,y20140613.csv,1.0
96919,9,610406053,エマベリンＬカプセル５ｍｇ,カプセル,1.0,0.0,0.0,0.0,1.0,2171014N4028,2016-04-01,2016-05-01,2016-05-02,y20160304.csv,1.0
96920,9,610406055,エマンダキシン錠５０ｍｇ,錠,1.0,0.0,0.0,0.0,1.0,1124026F1030,2016-04-01,2016-05-01,2016-05-02,y20160304.csv,1.0
46704,9,610406060,エリカナールカプセル２５０　２５０ｍｇ,カプセル,,0.0,0.0,0.0,1.0,6132005M1148,2014-09-30,2014-10-01,2014-10-02,y20140919.csv,1.0
93012,5,610406073,オタノールカプセル０．２５　０．２５μｇ,カプセル,,0.0,0.0,0.0,1.0,3112004M1015,2016-09-30,2016-10-01,2016-10-02,y20160613.csv,1.0
93013,5,610406074,オタノールカプセル０．５　０．５μｇ,カプセル,,0.0,0.0,0.0,1.0,3112004M2011,2016-09-30,2016-10-01,2016-10-02,y20160613.csv,1.0
515332,5,610406079,ガスター散２％,ｇ,1.0,0.0,0.0,0.0,0.0,2325003B2029,2025-04-01,2025-05-01,2025-05-02,y_ALL20250307.csv,1.0
49060,5,610406083,カルシオロールカプセル０．２５　０．２５μｇ,カプセル,,0.0,0.0,0.0,1.0,3112004M1015,2015-09-30,2015-10-01,2015-10-02,y20150612.csv,1.0
49061,5,610406084,カルシオロールカプセル０．５　０．５μｇ,カプセル,,0.0,0.0,0.0,1.0,3112004M2011,2015-09-30,2015-10-01,2015-10-02,y20150612.csv,1.0
93014,5,610406085,カルシタロールカプセル０．２５　０．２５μｇ,カプセル,,0.0,0.0,0.0,1.0,3112004M1015,2016-09-30,2016-10-01,2016-10-02,y20160613.csv,1.0
93015,5,610406086,カルシタロールカプセル０．５　０．５μｇ,カプセル,,0.0,0.0,0.0,1.0,3112004M2011,2016-09-30,2016-10-01,2016-10-02,y20160613.csv,1.0
271983,9,610406089,カルデミン錠０．２５μｇ,錠,,0.0,0.0,0.0,1.0,3112004F1024,2021-09-30,2021-10-01,2021-10-02,y_20210928.csv,1.0
49062,5,610406090,カルトールカプセル０．２５　０．２５μｇ,カプセル,,0.0,0.0,0.0,1.0,3112004M1015,2015-09-30,2015-10-01,2015-10-02,y20150612.csv,1.0
49063,5,610406091,カルトールカプセル０．５　０．５μｇ,カプセル,,0.0,0.0,0.0,1.0,3112004M2011,2015-09-30,2015-10-01,2015-10-02,y20150612.csv,1.0
138480,9,610406094,カルミサールカプセル０．２５　０．２５μｇ,カプセル,1.0,0.0,0.0,0.0,1.0,3112004M1015,2018-04-01,2018-05-01,2018-05-02,y20180305.csv,1.0
138481,9,610406095,カルミサールカプセル０．５　０．５μｇ,カプセル,1.0,0.0,0.0,0.0,1.0,3112004M2011,2018-04-01,2018-05-01,2018-05-02,y20180305.csv,1.0
4889,9,610406105,クラソパン錠５０ｍｇ,錠,,0.0,0.0,0.0,1.0,1124026F1049,2013-09-30,2013-10-01,2013-10-02,y20130930.csv,1.0
138482,9,610406130,サリパラ・コデイン液,ｍＬ,1.0,0.0,0.0,0.0,1.0,2249104S1030,2018-04-01,2018-05-01,2018-05-02,y20180305.csv,1.0
93016,5,610406157,セオノマール錠５　５ｍｇ,錠,,0.0,0.0,0.0,1.0,2123014F1019,2016-09-30,2016-10-01,2016-10-02,y20160613.csv,1.0
93017,5,610406158,セオノマール錠１０　１０ｍｇ,錠,,0.0,0.0,0.0,1.0,2123014F2015,2016-09-30,2016-10-01,2016-10-02,y20160613.csv,1.0
48323,9,610406161,セクロダン細粒２００　２００ｍｇ,ｇ,,0.0,0.0,0.0,1.0,6132005C2025,2015-03-31,2015-04-01,2015-04-02,y20150324.csv,1.0
48324,9,610406167,セレクナート錠２０ｍｇ,錠,,0.0,0.0,0.0,1.0,2149010F1114,2015-03-31,2015-04-01,2015-04-02,y20150324.csv,1.0
49064,5,610406168,セレクナート錠４０ｍｇ,錠,,0.0,0.0,0.0,1.0,2149010F2013,2015-09-30,2015-10-01,2015-10-02,y20150612.csv,1.0
