,c0,c2,c4,c9,c10,c13,c14,c15,c16,c31,c89,c90,c91,c92,c93,c94,ymd,next_month_day1,next_month_day2,filename,dt_rank_neg
114254,0,111000110,初診料,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,1,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114255,0,111000370,乳幼児加算（初診）,,3.0,1.0,110.0,0.0,0.0,99999999.0,1,1,0,0,5,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114256,0,111000470,乳幼児育児栄養指導料,,3.0,1.0,130.0,0.0,0.0,99999999.0,2,1,1,2,6,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114257,0,111000570,時間外加算（初診）,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,6,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114258,0,111000670,休日加算（初診）,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,6,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114259,0,111000770,深夜加算（初診）,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,6,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114260,0,111000870,時間外特例医療機関加算（初診）,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,6,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114261,0,111010770,乳幼児時間外特例医療機関加算（初診）（小児科外来診療料）,,3.0,1.0,130.0,0.0,0.0,99999999.0,2,1,1,2,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114262,0,111011570,乳幼児夜間加算（小児科初診）,,3.0,1.0,110.0,0.0,0.0,99999999.0,1,1,0,0,7,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114263,0,111011670,乳幼児休日加算（小児科初診）,,3.0,1.0,110.0,0.0,0.0,99999999.0,1,1,0,0,7,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114264,0,111011770,乳幼児深夜加算（小児科初診）,,3.0,1.0,110.0,0.0,0.0,99999999.0,1,1,0,0,7,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114265,0,111011810,初診料（同一日複数科受診時の２科目）,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114266,0,111011970,乳幼児時間外加算（初診）,,3.0,1.0,110.0,0.0,0.0,99999999.0,1,1,0,0,6,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114267,0,111012070,乳幼児休日加算（初診）,,3.0,1.0,110.0,0.0,0.0,99999999.0,1,1,0,0,6,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114268,0,111012170,乳幼児深夜加算（初診）,,3.0,1.0,110.0,0.0,0.0,99999999.0,1,1,0,0,6,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114269,0,111012270,乳幼児時間外特例医療機関加算（初診）,,3.0,1.0,110.0,0.0,0.0,99999999.0,1,1,0,0,6,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114270,0,111012470,夜間・早朝等加算（初診）,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,8,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114271,0,111012510,初診料（文書による紹介がない患者）,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,2,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114272,0,111012610,初診料（同一日複数科受診時の２科目・文書による紹介がない患者）,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114273,0,111012710,特定妥結率初診料,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
114274,0,111012810,特定妥結率初診料（同一日複数科受診時の２科目）,,3.0,0.0,110.0,0.0,0.0,99999999.0,1,1,0,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
47509,9,111012970,妊婦時間外加算（初診）,,3.0,,,,,,1,1,0,0,6,0,2019-01-01,2019-02-01,2019-02-02,s_20181228.csv,1.0
