,c0,c2,t1,t2,point,ymd,tag,ind
6590,5,610406002,2010-01-01,2012-05-02,14.1,2012-04-01,bdm,0
6590,5,610406002,2012-05-02,2012-12-02,13.1,2012-04-01,ws,1
1573,5,610406002,2012-12-02,2013-04-02,13.1,2012-11-30,ws,1
2802,9,610406002,2013-04-02,2025-06-30,13.1,2013-03-31,aes,2
6591,5,610406008,2010-01-01,2012-05-02,6.9,2012-04-01,bdm,0
6591,5,610406008,2012-05-02,2013-10-02,6.2,2012-04-01,ws,1
4887,9,610406008,2013-10-02,2025-06-30,6.2,2013-09-30,aes,2
6592,5,610406009,2010-01-01,2012-05-02,14.1,2012-04-01,bdm,0
6592,5,610406009,2012-05-02,2013-07-02,13.1,2012-04-01,ws,1
25163,0,610406009,2013-07-02,2014-05-02,13.1,2013-06-21,ws,1
52035,9,610406009,2014-05-02,2025-06-30,13.1,2014-04-01,aes,2
6593,5,610406013,2010-01-01,2012-05-02,6.9,2012-04-01,bdm,0
25164,0,610406013,2012-05-02,2014-05-02,6.2,2012-04-01,ws,1
52036,5,610406013,2014-05-02,2015-10-02,5.8,2014-04-01,ws,1
50315,9,610406013,2015-10-02,2025-06-30,5.8,2015-09-30,aes,2
6594,5,610406015,2010-01-01,2012-05-02,11.8,2012-04-01,bdm,0
6594,5,610406015,2012-05-02,2013-01-02,11.1,2012-04-01,ws,1
1781,5,610406015,2013-01-02,2013-10-02,11.1,2012-12-14,ws,1
4888,9,610406015,2013-10-02,2025-06-30,11.1,2013-09-30,aes,2
6595,5,610406020,2010-01-01,2012-05-02,6.9,2012-04-01,bdm,0
6595,5,610406020,2012-05-02,2012-10-02,6.4,2012-04-01,ws,1
1012,9,610406020,2012-10-02,2025-06-30,6.4,2012-09-30,aes,2
6596,5,610406021,2010-01-01,2012-05-02,10.9,2012-04-01,bdm,0
6596,5,610406021,2012-05-02,2012-10-02,9.9,2012-04-01,ws,1
1013,9,610406021,2012-10-02,2025-06-30,9.9,2012-09-30,aes,2
6597,5,610406047,2010-01-01,2012-05-02,18.1,2012-04-01,bdm,0
25165,0,610406047,2012-05-02,2014-05-02,16.8,2012-04-01,ws,1
72313,0,610406047,2014-05-02,2016-05-02,16.5,2014-04-01,ws,1
117533,0,610406047,2016-05-02,2018-05-02,15.5,2016-04-01,ws,1
162323,0,610406047,2018-05-02,2019-10-02,14.5,2018-04-01,ws,1
162255,5,610406047,2019-10-02,2019-11-02,14.5,2019-09-30,ws,1
183124,9,610406047,2019-11-02,2025-06-30,14.5,2019-10-01,aes,2
6598,5,610406050,2010-01-01,2012-05-02,5.8,2012-04-01,bdm,0
25166,0,610406050,2012-05-02,2014-05-02,5.6,2012-04-01,ws,1
52038,5,610406050,2014-05-02,2014-10-02,5.8,2014-04-01,ws,1
46703,9,610406050,2014-10-02,2025-06-30,5.8,2014-09-30,aes,2
6599,5,610406053,2010-01-01,2012-05-02,14.0,2012-04-01,bdm,0
25167,0,610406053,2012-05-02,2014-05-02,13.3,2012-04-01,ws,1
52039,5,610406053,2014-05-02,2015-12-02,10.2,2014-04-01,ws,1
72314,0,610406053,2015-12-02,2016-05-02,10.2,2015-11-28,ws,1
96919,9,610406053,2016-05-02,2025-06-30,10.2,2016-04-01,aes,2
6600,0,610406055,2010-01-01,2012-05-02,5.6,2012-04-01,bdm,0
25168,0,610406055,2012-05-02,2014-05-02,5.6,2012-04-01,ws,1
52040,5,610406055,2014-05-02,2015-04-02,5.8,2014-04-01,ws,1
72315,0,610406055,2015-04-02,2016-05-02,5.8,2015-03-25,ws,1
96920,9,610406055,2016-05-02,2025-06-30,5.8,2016-04-01,aes,2
6601,5,610406060,2010-01-01,2012-05-02,24.3,2012-04-01,bdm,0
6601,5,610406060,2012-05-02,2014-01-02,23.4,2012-04-01,ws,1
25169,0,610406060,2014-01-02,2014-05-02,23.4,2013-12-13,ws,1
52041,5,610406060,2014-05-02,2014-10-02,22.6,2014-04-01,ws,1
46704,9,610406060,2014-10-02,2025-06-30,22.6,2014-09-30,aes,2
6602,5,610406073,2010-01-01,2012-05-02,10.8,2012-04-01,bdm,0
25170,0,610406073,2012-05-02,2014-05-02,9.9,2012-04-01,ws,1
72316,0,610406073,2014-05-02,2016-05-02,8.2,2014-04-01,ws,1
96921,5,610406073,2016-05-02,2016-10-02,7.6,2016-04-01,ws,1
93606,9,610406073,2016-10-02,2025-06-30,7.6,2016-09-30,aes,2
6603,5,610406074,2010-01-01,2012-05-02,18.7,2012-04-01,bdm,0
25171,0,610406074,2012-05-02,2014-05-02,17.3,2012-04-01,ws,1
72317,0,610406074,2014-05-02,2016-05-02,12.6,2014-04-01,ws,1
96922,5,610406074,2016-05-02,2016-10-02,11.6,2016-04-01,ws,1
93607,9,610406074,2016-10-02,2025-06-30,11.6,2016-09-30,aes,2
6604,5,610406079,2010-01-01,2012-05-02,62.5,2012-04-01,bdm,0
25172,0,610406079,2012-05-02,2014-05-02,57.8,2012-04-01,ws,1
72318,0,610406079,2014-05-02,2016-05-02,54.7,2014-04-01,ws,1
117534,0,610406079,2016-05-02,2018-05-02,49.9,2016-04-01,ws,1
162324,0,610406079,2018-05-02,2019-11-02,42.8,2018-04-01,ws,1
204635,0,610406079,2019-11-02,2020-05-02,40.8,2019-10-01,ws,1
225579,5,610406079,2020-05-02,2021-05-02,38.4,2020-04-01,ws,1
272944,0,610406079,2021-05-02,2022-05-02,34.9,2021-04-01,ws,1
362474,5,610406079,2022-05-02,2023-05-02,26.0,2022-04-01,ws,1
428768,0,610406079,2023-05-02,2024-05-02,24.1,2023-04-01,ws,1
495646,0,610406079,2024-05-02,2024-11-02,16.5,2024-04-01,ws,1
450388,5,610406079,2024-11-02,2025-05-02,16.5,2024-10-01,ws,1
575849,0,610406079,2025-05-02,2025-06-30,15.1,2025-04-01,ws,1
