,c0,c2,t1,t2,pointlab,point,ymd,tag,ind
6621,0,111000110,2010-01-01,2012-05-02,3.0,270.0,2012-04-01,bdm,0
6621,0,111000110,2012-05-02,2014-04-02,3.0,270.0,2012-04-01,ws,1
13398,5,111000110,2014-04-02,2014-05-02,,282.0,2014-03-05,ws,1
17933,0,111000110,2014-05-02,2016-04-02,3.0,282.0,2014-04-01,ws,1
24680,5,111000110,2016-04-02,2016-05-02,,282.0,2016-03-04,ws,1
31129,0,111000110,2016-05-02,2018-04-02,3.0,282.0,2016-04-01,ws,1
38320,5,111000110,2018-04-02,2018-05-02,,282.0,2018-03-05,ws,1
47755,0,111000110,2018-05-02,2019-09-02,3.0,282.0,2018-04-01,ws,1
55302,5,111000110,2019-09-02,2019-11-02,,288.0,2019-08-19,ws,1
56185,0,111000110,2019-11-02,2020-05-02,3.0,288.0,2019-10-01,ws,1
71881,0,111000110,2020-05-02,2022-05-02,3.0,288.0,2020-04-01,ws,1
96223,0,111000110,2022-05-02,2024-04-02,3.0,288.0,2022-04-01,ws,1
110699,5,111000110,2024-04-02,2024-07-02,,288.0,2024-03-29,ws,1
114254,0,111000110,2024-07-02,2025-06-30,3.0,291.0,2024-06-01,ws,1
6622,0,111000370,2010-01-01,2012-05-02,3.0,75.0,2012-04-01,bdm,0
6622,0,111000370,2012-05-02,2014-05-02,3.0,75.0,2012-04-01,ws,1
17934,0,111000370,2014-05-02,2015-01-02,3.0,75.0,2014-04-01,ws,1
17665,5,111000370,2015-01-02,2016-05-02,,75.0,2014-12-12,ws,1
31130,0,111000370,2016-05-02,2018-04-02,3.0,75.0,2016-04-01,ws,1
38321,5,111000370,2018-04-02,2018-05-02,,75.0,2018-03-05,ws,1
47756,0,111000370,2018-05-02,2019-11-02,3.0,75.0,2018-04-01,ws,1
56186,0,111000370,2019-11-02,2020-05-02,3.0,75.0,2019-10-01,ws,1
71882,0,111000370,2020-05-02,2022-05-02,3.0,75.0,2020-04-01,ws,1
96224,0,111000370,2022-05-02,2024-07-02,3.0,75.0,2022-04-01,ws,1
114255,0,111000370,2024-07-02,2025-06-30,3.0,75.0,2024-06-01,ws,1
6623,0,111000470,2010-01-01,2012-05-02,3.0,130.0,2012-04-01,bdm,0
6623,0,111000470,2012-05-02,2014-05-02,3.0,130.0,2012-04-01,ws,1
17935,0,111000470,2014-05-02,2016-05-02,3.0,130.0,2014-04-01,ws,1
31131,0,111000470,2016-05-02,2018-04-02,3.0,130.0,2016-04-01,ws,1
38322,5,111000470,2018-04-02,2018-05-02,,130.0,2018-03-05,ws,1
47757,0,111000470,2018-05-02,2019-11-02,3.0,130.0,2018-04-01,ws,1
56187,0,111000470,2019-11-02,2020-05-02,3.0,130.0,2019-10-01,ws,1
71883,0,111000470,2020-05-02,2022-05-02,3.0,130.0,2020-04-01,ws,1
96225,0,111000470,2022-05-02,2024-07-02,3.0,130.0,2022-04-01,ws,1
114256,0,111000470,2024-07-02,2025-06-30,3.0,130.0,2024-06-01,ws,1
6624,0,111000570,2010-01-01,2012-05-02,3.0,85.0,2012-04-01,bdm,0
6624,0,111000570,2012-05-02,2014-05-02,3.0,85.0,2012-04-01,ws,1
17936,0,111000570,2014-05-02,2015-01-02,3.0,85.0,2014-04-01,ws,1
17666,5,111000570,2015-01-02,2016-05-02,,85.0,2014-12-12,ws,1
31132,0,111000570,2016-05-02,2018-04-02,3.0,85.0,2016-04-01,ws,1
38323,5,111000570,2018-04-02,2018-05-02,,85.0,2018-03-05,ws,1
47758,0,111000570,2018-05-02,2019-11-02,3.0,85.0,2018-04-01,ws,1
56188,0,111000570,2019-11-02,2020-05-02,3.0,85.0,2019-10-01,ws,1
71884,0,111000570,2020-05-02,2022-05-02,3.0,85.0,2020-04-01,ws,1
96226,0,111000570,2022-05-02,2024-07-02,3.0,85.0,2022-04-01,ws,1
114257,0,111000570,2024-07-02,2025-06-30,3.0,85.0,2024-06-01,ws,1
6625,0,111000670,2010-01-01,2012-05-02,3.0,250.0,2012-04-01,bdm,0
6625,0,111000670,2012-05-02,2014-05-02,3.0,250.0,2012-04-01,ws,1
17937,0,111000670,2014-05-02,2015-01-02,3.0,250.0,2014-04-01,ws,1
17667,5,111000670,2015-01-02,2016-05-02,,250.0,2014-12-12,ws,1
31133,0,111000670,2016-05-02,2018-04-02,3.0,250.0,2016-04-01,ws,1
38324,5,111000670,2018-04-02,2018-05-02,,250.0,2018-03-05,ws,1
47759,0,111000670,2018-05-02,2019-11-02,3.0,250.0,2018-04-01,ws,1
56189,0,111000670,2019-11-02,2020-05-02,3.0,250.0,2019-10-01,ws,1
71885,0,111000670,2020-05-02,2022-05-02,3.0,250.0,2020-04-01,ws,1
96227,0,111000670,2022-05-02,2024-07-02,3.0,250.0,2022-04-01,ws,1
114258,0,111000670,2024-07-02,2025-06-30,3.0,250.0,2024-06-01,ws,1
6626,0,111000770,2010-01-01,2012-05-02,3.0,480.0,2012-04-01,bdm,0
6626,0,111000770,2012-05-02,2014-05-02,3.0,480.0,2012-04-01,ws,1
17938,0,111000770,2014-05-02,2015-01-02,3.0,480.0,2014-04-01,ws,1
17668,5,111000770,2015-01-02,2016-05-02,,480.0,2014-12-12,ws,1
31134,0,111000770,2016-05-02,2018-04-02,3.0,480.0,2016-04-01,ws,1
38325,5,111000770,2018-04-02,2018-05-02,,480.0,2018-03-05,ws,1
47760,0,111000770,2018-05-02,2019-11-02,3.0,480.0,2018-04-01,ws,1
56190,0,111000770,2019-11-02,2020-05-02,3.0,480.0,2019-10-01,ws,1
71886,0,111000770,2020-05-02,2022-05-02,3.0,480.0,2020-04-01,ws,1
96228,0,111000770,2022-05-02,2024-07-02,3.0,480.0,2022-04-01,ws,1
114259,0,111000770,2024-07-02,2025-06-30,3.0,480.0,2024-06-01,ws,1
6627,0,111000870,2010-01-01,2012-05-02,3.0,230.0,2012-04-01,bdm,0
6627,0,111000870,2012-05-02,2014-05-02,3.0,230.0,2012-04-01,ws,1
17939,0,111000870,2014-05-02,2015-01-02,3.0,230.0,2014-04-01,ws,1
17669,5,111000870,2015-01-02,2016-05-02,,230.0,2014-12-12,ws,1
31135,0,111000870,2016-05-02,2018-04-02,3.0,230.0,2016-04-01,ws,1
38326,5,111000870,2018-04-02,2018-05-02,,230.0,2018-03-05,ws,1
47761,0,111000870,2018-05-02,2019-11-02,3.0,230.0,2018-04-01,ws,1
56191,0,111000870,2019-11-02,2020-05-02,3.0,230.0,2019-10-01,ws,1
71887,0,111000870,2020-05-02,2022-05-02,3.0,230.0,2020-04-01,ws,1
96229,0,111000870,2022-05-02,2024-07-02,3.0,230.0,2022-04-01,ws,1
114260,0,111000870,2024-07-02,2025-06-30,3.0,230.0,2024-06-01,ws,1
6628,0,111010770,2010-01-01,2012-05-02,3.0,230.0,2012-04-01,bdm,0
6628,0,111010770,2012-05-02,2014-05-02,3.0,230.0,2012-04-01,ws,1
17940,0,111010770,2014-05-02,2016-04-02,3.0,230.0,2014-04-01,ws,1
27856,5,111010770,2016-04-02,2016-05-02,,230.0,2016-03-18,ws,1
31136,0,111010770,2016-05-02,2018-04-02,3.0,230.0,2016-04-01,ws,1
38327,5,111010770,2018-04-02,2018-05-02,,230.0,2018-03-05,ws,1
47762,0,111010770,2018-05-02,2019-11-02,3.0,230.0,2018-04-01,ws,1
56192,0,111010770,2019-11-02,2020-04-02,3.0,230.0,2019-10-01,ws,1
67145,5,111010770,2020-04-02,2020-05-02,,230.0,2020-03-23,ws,1
71888,0,111010770,2020-05-02,2022-05-02,3.0,230.0,2020-04-01,ws,1
96230,0,111010770,2022-05-02,2024-07-02,3.0,230.0,2022-04-01,ws,1
114261,0,111010770,2024-07-02,2025-06-30,3.0,230.0,2024-06-01,ws,1
6629,0,111011570,2010-01-01,2012-05-02,3.0,200.0,2012-04-01,bdm,0
5513,5,111011570,2012-05-02,2014-05-02,,200.0,2012-04-20,ws,1
17941,0,111011570,2014-05-02,2015-01-02,3.0,200.0,2014-04-01,ws,1
17670,5,111011570,2015-01-02,2016-05-02,,200.0,2014-12-12,ws,1
31137,0,111011570,2016-05-02,2018-04-02,3.0,200.0,2016-04-01,ws,1
38328,5,111011570,2018-04-02,2018-05-02,,200.0,2018-03-05,ws,1
47763,0,111011570,2018-05-02,2019-11-02,3.0,200.0,2018-04-01,ws,1
56193,0,111011570,2019-11-02,2020-05-02,3.0,200.0,2019-10-01,ws,1
71889,0,111011570,2020-05-02,2022-05-02,3.0,200.0,2020-04-01,ws,1
96231,0,111011570,2022-05-02,2024-07-02,3.0,200.0,2022-04-01,ws,1
114262,0,111011570,2024-07-02,2025-06-30,3.0,200.0,2024-06-01,ws,1
6630,0,111011670,2010-01-01,2012-05-02,3.0,365.0,2012-04-01,bdm,0
6630,0,111011670,2012-05-02,2014-05-02,3.0,365.0,2012-04-01,ws,1
17942,0,111011670,2014-05-02,2015-01-02,3.0,365.0,2014-04-01,ws,1
17671,5,111011670,2015-01-02,2016-05-02,,365.0,2014-12-12,ws,1
31138,0,111011670,2016-05-02,2018-04-02,3.0,365.0,2016-04-01,ws,1
38329,5,111011670,2018-04-02,2018-05-02,,365.0,2018-03-05,ws,1
47764,0,111011670,2018-05-02,2019-11-02,3.0,365.0,2018-04-01,ws,1
56194,0,111011670,2019-11-02,2020-05-02,3.0,365.0,2019-10-01,ws,1
71890,0,111011670,2020-05-02,2022-05-02,3.0,365.0,2020-04-01,ws,1
96232,0,111011670,2022-05-02,2024-07-02,3.0,365.0,2022-04-01,ws,1
114263,0,111011670,2024-07-02,2025-06-30,3.0,365.0,2024-06-01,ws,1
6631,0,111011770,2010-01-01,2012-05-02,3.0,695.0,2012-04-01,bdm,0
6631,0,111011770,2012-05-02,2014-05-02,3.0,695.0,2012-04-01,ws,1
17943,0,111011770,2014-05-02,2015-01-02,3.0,695.0,2014-04-01,ws,1
17672,5,111011770,2015-01-02,2016-05-02,,695.0,2014-12-12,ws,1
31139,0,111011770,2016-05-02,2018-04-02,3.0,695.0,2016-04-01,ws,1
38330,5,111011770,2018-04-02,2018-05-02,,695.0,2018-03-05,ws,1
47765,0,111011770,2018-05-02,2019-11-02,3.0,695.0,2018-04-01,ws,1
56195,0,111011770,2019-11-02,2020-05-02,3.0,695.0,2019-10-01,ws,1
71891,0,111011770,2020-05-02,2022-05-02,3.0,695.0,2020-04-01,ws,1
96233,0,111011770,2022-05-02,2024-07-02,3.0,695.0,2022-04-01,ws,1
114264,0,111011770,2024-07-02,2025-06-30,3.0,695.0,2024-06-01,ws,1
6632,0,111011810,2010-01-01,2012-05-02,3.0,135.0,2012-04-01,bdm,0
6632,0,111011810,2012-05-02,2014-04-02,3.0,135.0,2012-04-01,ws,1
13399,5,111011810,2014-04-02,2014-05-02,,141.0,2014-03-05,ws,1
