,c0,c2,t1,t2,pointlab,point,ymd,tag,ind
0,0,700010000,2010-01-01,2012-05-02,1.0,137.0,2012-04-01,bdm,0
1198,0,700010000,2012-05-02,2014-05-02,1.0,137.0,2012-04-01,ws,1
3655,0,700010000,2014-05-02,2016-05-02,1.0,139.0,2014-04-01,ws,1
6253,0,700010000,2016-05-02,2018-05-02,1.0,122.0,2016-04-01,ws,1
8884,0,700010000,2018-05-02,2019-11-02,1.0,122.0,2018-04-01,ws,1
11394,0,700010000,2019-11-02,2020-05-02,1.0,124.0,2019-10-01,ws,1
14030,0,700010000,2020-05-02,2022-05-02,1.0,120.0,2020-04-01,ws,1
20696,0,700010000,2022-05-02,2024-07-02,1.0,120.0,2022-04-01,ws,1
24784,0,700010000,2024-07-02,2025-06-30,1.0,120.0,2024-06-01,ws,1
1,0,700020000,2010-01-01,2012-05-02,1.0,137.0,2012-04-01,bdm,0
1199,0,700020000,2012-05-02,2014-05-02,1.0,137.0,2012-04-01,ws,1
3656,0,700020000,2014-05-02,2016-05-02,1.0,139.0,2014-04-01,ws,1
6254,0,700020000,2016-05-02,2018-05-02,1.0,122.0,2016-04-01,ws,1
8885,0,700020000,2018-05-02,2019-11-02,1.0,122.0,2018-04-01,ws,1
11395,0,700020000,2019-11-02,2020-05-02,1.0,124.0,2019-10-01,ws,1
14031,0,700020000,2020-05-02,2022-05-02,1.0,120.0,2020-04-01,ws,1
20697,0,700020000,2022-05-02,2024-07-02,1.0,120.0,2022-04-01,ws,1
24785,0,700020000,2024-07-02,2025-06-30,1.0,120.0,2024-06-01,ws,1
2,0,700030000,2010-01-01,2012-05-02,1.0,114.0,2012-04-01,bdm,0
1200,0,700030000,2012-05-02,2014-05-02,1.0,114.0,2012-04-01,ws,1
3657,0,700030000,2014-05-02,2016-05-02,1.0,117.0,2014-04-01,ws,1
6255,0,700030000,2016-05-02,2018-05-02,1.0,116.0,2016-04-01,ws,1
8886,0,700030000,2018-05-02,2019-11-02,1.0,116.0,2018-04-01,ws,1
